Address,Name,Short,Post
"Abidjan, Ivory Coast",Abidjan,ABJ,Africa/Abidjan
"Abu Dhabi, U.A.E.",Abu Dhabi,AUH,
"Accra, Ghana",Accra,ACC,Africa/Accra
"Acton, U.S.A.",Acton,BOS,
"Adak, U.S.A.",Adak,ADK,America/Adak
"Adamstown, Pitcairn Islands",Adamstown,,
"Addis Ababa, Ethiopia",Addis Ababa,ADD,Africa/Addis_Ababa
"Adelaide, Australia",Adelaide,ADL,Australia/Adelaide
"Aden, Yemen",Aden,ADE,Asia/Aden
"Albuquerque, U.S.A.",Albuquerque,ABQ,
"Alexandria, Egypt",Alexandria,ALY,Africa/Cairo
"Algiers, Algeria",Algiers,ALG,Africa/Algiers
"Alofi, Niue",Alofi,HUE,Pacific/Niue
"Amman, Jordan",Amman,AMM,Asia/Amman
"Amsterdam, Netherlands",Amsterdam,AMS,Europe/Amsterdam
"Amundsen-Scott Station, Antarctica",Amundsen-Scott Station,NZSP,
"Anadyr, Russia",Anadyr,DYR,Asia/Anadyr
"Anchorage, U.S.A.",Anchorage,ANC,America/Anchorage
"Andorra la Vella, Andorra",Andorra la Vella,ALV,Europe/Andorra
"Ankara, Turkey",Ankara,ANK,
"Antananarivo, Madagascar",Antananarivo,TNR,Indian/Antananarivo
"Antwerp, Belgium",Antwerp,ANR,
"Apia, Samoa",Apia,FGI,Pacific/Apia
"Aqtobe, Kazakhstan",Aqtobe,AKX,Asia/Aqtobe
"Araguaina, Brazil",Araguaina,AUX,America/Araguaina
"Ashgabat, Turkmenistan",Ashgabat,ASB,Asia/Ashgabat
"Asmera, Eritrea",Asmera,ASM,
"Astana, Kazakhstan",Astana,TSE,
"Asunción, Paraguay",Asunción,ASU,America/Asuncion
"Athens, Greece",Athens,ATH,Europe/Athens
"Atikokan, Canada",Atikokan,YIB,America/Atikokan
"Atlanta, U.S.A.",Atlanta,ATL,
"Atyrau, Kazakhstan",Atyrau,GUW,
"Aukland, New Zealand",Aukland,AKL,
"Austin, U.S.A.",Austin,AUS,
"Baghdad, Iraq",Baghdad,,
"Baku, Azerbaijan",Baku,,
"Baltimore, U.S.A.",Baltimore,,
"Bamako, Mali",Bamako,,
"Bandar Seri Begawan, Brunei",Bandar Seri Begawan,,
"Bangkok, Thailand",Bangkok,BKK,Asia/Bangkok
"Bangui, Central African Republic",Bangui,,
"Banjul, Gambia",Banjul,,
"Bantam Villiage, Cocos (Keeling) Islands",Bantam Villiage,,
"Barcelona, Spain",Barcelona,,
"Bari, Italy",Bari,,
"Basse-Terre, Guadeloupe",Basse-Terre,,
"Basseterre, Saint Kitts and Nevis",Basseterre,,
"Beijing, China",Beijing,,
"Beirut, Lebanon",Beirut,,
"Belem, Brazil",Belem,,
"Belgrade, Serbia",Belgrade,,
"Belize City, Belize",Belize City,,
"Benicia, U.S.A.",Benicia,,
"Berkeley, U.S.A.",Berkeley,,
"Berkeley Heights, U.S.A.",Berkeley Heights,,
"Berlin, Germany",Berlin,,
"Bern, Switzerland",Bern,,
"Beulah, U.S.A.",Beulah,,
"Bishkek, Kyrgyzstan",Bishkek,,
"Bissau, Guinea-Bissau",Bissau,,
"Blacksburg, U.S.A.",Blacksburg,,
"Blanc-Sablon, Canada",Blanc-Sablon,,
"Blantyre, Malawi",Blantyre,,
"Boa Vista, Brazil",Boa Vista,,
"Bogotá, Colombia",Bogotá,,
"Boise, U.S.A.",Boise,,
"Bologna, Italy",Bologna,,
"Boston, U.S.A.",Boston,,
